Date,Total Accidents,Fatal Accidents,Injuries,Weather Condition,Road Condition
2012-01-01,42,15,25,Rain,Snow-covered
2012-01-02,33,0,12,Snow,Dry
2012-01-03,11,0,0,Cloudy,Wet
2012-01-04,22,2,0,Cloudy,Icy
2012-01-05,36,17,26,Snow,Snow-covered
2012-01-06,19,9,7,Clear,Muddy
2012-01-07,33,12,33,Cloudy,Snow-covered
2012-01-08,20,2,3,Snow,Muddy
2012-01-09,29,5,20,Clear,Icy
2012-01-10,28,8,26,Snow,Muddy
2012-01-11,1,0,1,Snow,Dry
2012-01-12,8,0,5,Rain,Snow-covered
2012-01-13,22,2,13,Fog,Muddy
2012-01-14,17,5,1,Fog,Wet
2012-01-15,9,1,4,Snow,Icy
2012-01-16,45,9,33,Fog,Snow-covered
2012-01-17,43,16,13,Fog,Snow-covered
2012-01-18,11,0,2,Fog,Muddy
2012-01-19,46,1,32,Clear,Icy
2012-01-20,43,4,0,Fog,Muddy
2012-01-21,41,12,17,Fog,Wet
2012-01-22,15,1,6,Snow,Wet
2012-01-23,26,8,18,Clear,Wet
2012-01-24,14,7,5,Snow,Icy
2012-01-25,40,16,18,Clear,Muddy
2012-01-26,2,1,1,Fog,Muddy
2012-01-27,46,11,12,Rain,Snow-covered
2012-01-28,43,1,3,Clear,Icy
2012-01-29,42,4,28,Cloudy,Muddy
2012-01-30,47,7,32,Cloudy,Wet
2012-01-31,6,0,3,Rain,Dry
2012-02-01,23,0,6,Rain,Snow-covered
2012-02-02,12,1,0,Fog,Icy
2012-02-03,7,2,3,Fog,Icy
2012-02-04,18,0,8,Snow,Snow-covered
2012-02-05,38,0,25,Clear,Dry
2012-02-06,13,2,5,Cloudy,Muddy
2012-02-07,4,0,3,Cloudy,Wet
2012-02-08,2,0,1,Cloudy,Snow-covered
2012-02-09,8,0,3,Clear,Snow-covered
2012-02-10,15,4,8,Snow,Dry
2012-02-11,48,7,2,Cloudy,Wet
2012-02-12,8,4,7,Snow,Muddy
2012-02-13,46,17,16,Rain,Muddy
2012-02-14,50,16,13,Cloudy,Dry
2012-02-15,4,1,4,Snow,Muddy
2012-02-16,40,9,27,Snow,Snow-covered
2012-02-17,22,9,5,Clear,Dry
2012-02-18,20,8,16,Fog,Muddy
2012-02-19,23,1,0,Snow,Icy
2012-02-20,15,2,12,Fog,Snow-covered
2012-02-21,12,3,10,Snow,Wet
2012-02-22,3,0,1,Snow,Snow-covered
2012-02-23,20,6,17,Clear,Dry
2012-02-24,39,10,15,Fog,Dry
2012-02-25,7,3,6,Cloudy,Icy
2012-02-26,10,4,0,Fog,Dry
2012-02-27,19,3,10,Rain,Muddy
2012-02-28,32,11,14,Clear,Snow-covered
2012-02-29,25,6,15,Rain,Snow-covered
2012-03-01,50,10,49,Cloudy,Icy
2012-03-02,36,6,28,Cloudy,Wet
2012-03-03,14,1,6,Clear,Icy
2012-03-04,14,6,4,Cloudy,Dry
2012-03-05,34,3,27,Clear,Dry
2012-03-06,13,0,3,Fog,Wet
2012-03-07,4,2,3,Rain,Muddy
2012-03-08,11,1,2,Fog,Dry
2012-03-09,20,4,2,Snow,Muddy
2012-03-10,30,15,5,Cloudy,Icy
2012-03-11,10,3,5,Rain,Muddy
2012-03-12,19,6,17,Clear,Wet
